"","feature","mean","sd","missing_rate"
"1","age",59.7489166445202,10.68057785367,0
"2","BMI",27.8006116761102,4.14980850436059,0
"3","waist_height_ratio",0.580962158135589,0.0791991417713096,0.231944444444445
"4","Met",34.7544286487831,22.1713240187075,0
"5","glucose",102.151355051649,28.5451564417047,0.0416666666666666
"6","HDL",46.8478917074462,23.5734424511797,0.102777777777778
"7","triglicerides",102.569276927068,62.0452607180933,0.0972222222222222
"8","LAD",16.0146627565982,17.3426121485759,0.526388888888889
"9","LAA",23.2164705882353,6.6835813497625,0.763888888888889
"10","LAV",59.8517857142857,26.4460592685669,0.844444444444444
"11","AF_ablation_time",4.10485969191909,4.80446939673954,0
"12","p14_score",7.74305555555556,2.0574047135804,0
"13","alcohol_intake",9.00746869660086,12.9143053681325,0
